channel,campaign_name,package,month,Spend,Impressions,corrected_spend,corrected_impressions,method,ecpm
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-01,62024.58574252417,4826596.0,79174.0,4826596.0,CPM,16.40369320324303
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-02,60692.92635391163,4723212.0,77843.0,4723212.0,CPM,16.480945593803536
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-03,72299.33556556678,6133124.999999999,90511.0,6133125.0,CPM,14.757729542443697
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,1290583.0,30000.0,1290583.0,PAV,23.24530851560884
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,1271572.0,30000.0,1271572.0,PAV,23.592844133088807
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,1358144.0,30000.0,1358144.0,PAV,22.088968474624195
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_AUD_0:30_A18+_CPE_NONSPR,2025-01,827774.3882859161,1031142.0,55000.0,1031142.0,CPE,53.33891937288948
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_AUD_0:30_A18+_CPE_NONSPR,2025-02,784232.2643343051,1032928.0,55000.0,1032928.0,CPE,53.24669289631029
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_AUD_0:30_A18+_CPE_NONSPR,2025-03,770445.3290395683,1033537.0,55000.0,1033537.0,CPE,53.21531788412026
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,1026033.0000000001,30000.0,1026033.0,PAV,29.23882565180652
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,1028056.9999999999,30000.0,1028057.0,PAV,29.18126135029478
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,1028079.9999999999,30000.0,1028080.0,PAV,29.18060851295619
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-01,0.0,1777301.9999999998,30000.0,1777302.0,PAV,16.879517380839047
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-02,0.0,1856269.0,30000.0,1856269.0,PAV,16.161450738012647
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-03,0.0,1926779.0,30000.0,1926779.0,PAV,15.570026453474943
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_AE Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-01,58338.175721453386,5620153.0,77958.0,5620153.0,CPM,13.871152618087088
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_AE Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-02,83492.18315247662,8043421.0,103112.0,8043421.0,CPM,12.819420990148346
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_AE Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-03,45924.81462988515,5146321.0,67001.0,5146321.0,CPM,13.019203427069552
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Session Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-01,59416.73720430454,1621205.0,52767.0,1621205.0,CPM,32.54801212678224
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Session Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-02,70789.57998980167,1931525.0000000002,64140.0,1931525.0,CPM,33.2069219916905
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Session Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-03,50022.41635849467,1551640.0,47784.0,1551640.0,CPM,30.795803150215256
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_AE Unreach_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-01,58793.1168650259,5664013.000000001,78413.0,5664013.0,CPM,13.844071332463397
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_AE Unreach_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-02,84432.21977436633,8133952.999999999,104052.0,8133953.0,CPM,12.792304061752017
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_AE Unreach_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-03,44595.707722164894,5016555.0,65706.0,5016555.0,CPM,13.097833074689705
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_Spons Session Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-01,59066.74870455731,1611567.0,52415.0,1611567.0,CPM,32.52424503604256
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_Spons Session Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-02,69443.5472760735,1894903.0000000002,62796.0,1894903.0,CPM,33.139427189676724
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_Spons Session Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-03,55715.92377001168,1536062.0,49444.0,1536062.0,CPM,32.188804878969734
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Mid Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-01,55360.14963985744,2604920.0,64108.0,2604920.0,CPM,24.610352717165977
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Mid Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-02,77585.69597113814,3650972.0,86335.0,3650972.0,CPM,23.6471273951156
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Mid Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-03,77733.42111842742,3658143.0,86484.0,3658143.0,CPM,23.641503352930705
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-01,62528.40028703858,2942596.0,71279.0,2942596.0,CPM,24.223168929747747
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-02,73446.33744665988,3456405.9999999995,82197.0,3456406.0,CPM,23.781060442552175
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-03,79004.05703083491,3717828.0,87754.0,3717828.0,CPM,23.603566383382983
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre/Mid AV Rotator_CRS_POD_0:45_A18+_PAV_NONSPR,2025-01,0.0,2080285.0,30000.0,2080285.0,PAV,14.421100954917234
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre/Mid AV Rotator_CRS_POD_0:45_A18+_PAV_NONSPR,2025-02,0.0,2698110.0,30000.0,2698110.0,PAV,11.118894337147117
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre/Mid AV Rotator_CRS_POD_0:45_A18+_PAV_NONSPR,2025-03,0.0,2710323.0,30000.0,2710323.0,PAV,11.06879143186993
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Companion Banner _CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,1045128.0,30000.0,1045128.0,PAV,28.704617998943668
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Companion Banner _CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,1060167.0,30000.0,1060167.0,PAV,28.297428612661967
