channel,campaign_name,package,month,Spend,Impressions
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Adri�n Marcelo _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,1823.0,48611.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Adri�n Marcelo _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,893.0,23898.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Adri�n Marcelo _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,654.0,21118.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_El RePortero _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,303.0,8059.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_El RePortero _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,107.0,2744.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_El RePortero _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,30.0,775.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Hermanos de Leche _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,7247.0,193245.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Hermanos de Leche _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,10556.0,281502.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Hermanos de Leche _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,8392.0,389710.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Invertir Joven _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,389.0,10360.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Invertir Joven _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,126.0,3258.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Invertir Joven _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,38.0,981.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Las Ma�aneras _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,187.0,4979.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Las Ma�aneras _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,227.0,6085.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Las Ma�aneras _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,251.0,6702.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Nayo Escobar _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,1790.0,47747.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Nayo Escobar _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,1893.0,50533.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Nayo Escobar _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,2218.0,75942.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Tu Desarrollo Personal_CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,2294.0,61183.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Tu Desarrollo Personal_CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,1938.0,51653.0
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Tu Desarrollo Personal_CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,1904.0,50782.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Banner_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,16267.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Banner_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,76051.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Banner_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,336977.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Streaming _CRS_AUD_0:30_A18+_CPM_NONSPR,2025-01,33253.0,2770778.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Streaming _CRS_AUD_0:30_A18+_CPM_NONSPR,2025-02,28854.0,2404618.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Streaming _CRS_AUD_0:30_A18+_CPM_NONSPR,2025-03,7784.0,692455.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Uforia Podcasting BMF Pre/Mid_CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,5443.0,155507.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Uforia Podcasting BMF Pre/Mid_CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,12505.0,357251.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Uforia Podcasting BMF Pre/Mid_CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,21979.0,653381.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Uforia Podcasting RON Pre/Mid_CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,1394.0,51616.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Uforia Podcasting RON Pre/Mid_CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,3485.0,129145.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Uforia Podcasting RON Pre/Mid_CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,5081.0,190947.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Uforia Streaming_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-01,21645.0,1803805.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Uforia Streaming_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-02,25714.0,2142732.0
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Uforia Streaming_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-03,22113.0,1990135.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 English_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-01,18317.0,1483272.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 English_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-02,20604.0,1668385.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 English_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-03,20759.0,1826908.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 English_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,119416.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 English_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,107974.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 English_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,102162.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 Spanish_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-01,15056.0,1219174.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 Spanish_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-02,21929.0,1775670.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 Spanish_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-03,22607.0,2146313.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 Spanish_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,68633.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 Spanish_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,93632.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_AXP HM1849 Spanish_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,105661.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_Alex El Genio _CRS_POD_MI030_A18+_CPM_NONSPR,2025-01,979.0,44584.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_Alex El Genio _CRS_POD_MI030_A18+_CPM_NONSPR,2025-02,987.0,45007.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_Alex El Genio _CRS_POD_MI030_A18+_CPM_NONSPR,2025-03,647.0,32371.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_Codigo Misterio _CRS_POD_MI030_A18+_CPM_NONSPR,2025-01,445.0,20250.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_Codigo Misterio _CRS_POD_MI030_A18+_CPM_NONSPR,2025-02,389.0,17801.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_Codigo Misterio _CRS_POD_MI030_A18+_CPM_NONSPR,2025-03,191.0,9976.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_De Todo Un Mucho _CRS_POD_MI030_A18+_CPM_NONSPR,2025-01,635.0,28824.0
Digital Audio,,D_ATF_REX_067_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_De Todo Un Mucho _CRS_POD_MI030_A18+_CPM_NONSPR,2025-02,645.0,29349.0
